Record,Date,UTC Time,CV,PV,SP,DS1,DS2,DS3
         1, 3/21/2013, 2:34:46,   5.000000E+01,   3.684782E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 2:34:46,   5.000000E+01,   3.683425E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 2:34:47,   5.000000E+01,   3.683877E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 2:34:47,   5.000000E+01,   3.683425E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 2:34:47,   5.000000E+01,   3.684329E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 2:34:48,   5.000000E+01,   3.683877E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 2:34:48,   5.000000E+01,   3.684329E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 2:34:48,   5.000000E+01,   3.683425E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 2:34:48,   5.000000E+01,   3.683425E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 2:34:49,   5.000000E+01,   3.685686E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 2:34:49,   5.000000E+01,   3.682973E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 2:34:49,   5.000000E+01,   3.682521E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 2:34:49,   5.000000E+01,   3.682973E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 2:34:50,   5.001184E+01,   3.683425E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 2:34:50,   4.986621E+01,   3.683425E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 2:34:50,   5.025602E+01,   3.682521E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 2:34:50,   5.114906E+01,   3.682521E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 2:34:51,   4.977421E+01,   3.682521E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        19, 3/21/2013, 2:34:51,   5.026509E+01,   3.683425E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        20, 3/21/2013, 2:34:51,   5.010406E+01,   3.682069E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        21, 3/21/2013, 2:34:51,   5.030048E+01,   3.683877E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        22, 3/21/2013, 2:34:52,   5.026377E+01,   3.682069E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        23, 3/21/2013, 2:34:52,   5.087968E+01,   3.681165E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        24, 3/21/2013, 2:34:52,   5.034077E+01,   3.681617E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        25, 3/21/2013, 2:34:52,   5.019795E+01,   3.681617E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        26, 3/21/2013, 2:34:53,   5.059111E+01,   3.681617E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        27, 3/21/2013, 2:34:53,   5.060472E+01,   3.681165E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        28, 3/21/2013, 2:34:53,   5.118728E+01,   3.680713E+01,   3.690000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        29, 3/21/2013, 2:34:53,   5.091700E+01,   3.679808E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        30, 3/21/2013, 2:34:54,   5.093947E+01,   3.681165E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        31, 3/21/2013, 2:34:54,   5.069207E+01,   3.680260E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        32, 3/21/2013, 2:34:54,   5.067618E+01,   3.680260E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        33, 3/21/2013, 2:34:54,   5.083327E+01,   3.678904E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        34, 3/21/2013, 2:34:55,   5.109328E+01,   3.678904E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        35, 3/21/2013, 2:34:55,   5.084517E+01,   3.680713E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        36, 3/21/2013, 2:34:55,   4.989753E+01,   3.680713E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        37, 3/21/2013, 2:34:55,   5.012665E+01,   3.682521E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        38, 3/21/2013, 2:34:56,   4.932635E+01,   3.684329E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        39, 3/21/2013, 2:34:56,   4.926329E+01,   3.685686E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        40, 3/21/2013, 2:34:56,   4.903372E+01,   3.685234E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        41, 3/21/2013, 2:34:56,   4.933561E+01,   3.687494E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        42, 3/21/2013, 2:34:57,   4.852548E+01,   3.689755E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        43, 3/21/2013, 2:34:57,   4.681134E+01,   3.694276E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        44, 3/21/2013, 2:34:57,   4.668114E+01,   3.696085E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        45, 3/21/2013, 2:34:58,   4.666866E+01,   3.698797E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        46, 3/21/2013, 2:34:58,   4.598169E+01,   3.701962E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        47, 3/21/2013, 2:34:58,   4.567973E+01,   3.704223E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        48, 3/21/2013, 2:34:58,   4.587350E+01,   3.707840E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        49, 3/21/2013, 2:34:59,   4.451440E+01,   3.711457E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        50, 3/21/2013, 2:34:59,   4.455003E+01,   3.714170E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        51, 3/21/2013, 2:34:59,   4.366485E+01,   3.715978E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        52, 3/21/2013, 2:34:59,   4.459892E+01,   3.718690E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        53, 3/21/2013, 2:35:00,   4.392519E+01,   3.720951E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        54, 3/21/2013, 2:35:00,   4.339209E+01,   3.725020E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        55, 3/21/2013, 2:35:00,   4.336671E+01,   3.727281E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        56, 3/21/2013, 2:35:00,   4.323732E+01,   3.729994E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        57, 3/21/2013, 2:35:01,   4.198291E+01,   3.733158E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        58, 3/21/2013, 2:35:01,   4.270004E+01,   3.733158E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        59, 3/21/2013, 2:35:01,   4.221224E+01,   3.738132E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        60, 3/21/2013, 2:35:01,   4.078017E+01,   3.741297E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        61, 3/21/2013, 2:35:02,   4.119051E+01,   3.742201E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        62, 3/21/2013, 2:35:02,   4.051160E+01,   3.744913E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        63, 3/21/2013, 2:35:02,   4.045966E+01,   3.748078E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        64, 3/21/2013, 2:35:02,   4.051975E+01,   3.748983E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        65, 3/21/2013, 2:35:03,   3.976487E+01,   3.753504E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        66, 3/21/2013, 2:35:03,   3.920492E+01,   3.754860E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        67, 3/21/2013, 2:35:03,   3.890680E+01,   3.757573E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        68, 3/21/2013, 2:35:04,   3.990231E+01,   3.757573E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        69, 3/21/2013, 2:35:04,   3.942745E+01,   3.759834E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        70, 3/21/2013, 2:35:04,   3.873837E+01,   3.762094E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        71, 3/21/2013, 2:35:04,   3.815586E+01,   3.762999E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        72, 3/21/2013, 2:35:05,   3.812911E+01,   3.762999E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        73, 3/21/2013, 2:35:05,   3.878638E+01,   3.766163E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        74, 3/21/2013, 2:35:05,   3.781121E+01,   3.766163E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        75, 3/21/2013, 2:35:05,   3.767786E+01,   3.767520E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        76, 3/21/2013, 2:35:06,   3.765529E+01,   3.768876E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        77, 3/21/2013, 2:35:06,   3.801772E+01,   3.768876E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        78, 3/21/2013, 2:35:06,   3.681980E+01,   3.770684E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        79, 3/21/2013, 2:35:06,   3.776167E+01,   3.769780E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        80, 3/21/2013, 2:35:07,   3.680729E+01,   3.770232E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        81, 3/21/2013, 2:35:07,   3.758727E+01,   3.770232E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        82, 3/21/2013, 2:35:07,   3.746893E+01,   3.770232E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        83, 3/21/2013, 2:35:07,   3.762060E+01,   3.767520E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        84, 3/21/2013, 2:35:08,   3.725060E+01,   3.769328E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        85, 3/21/2013, 2:35:08,   3.718987E+01,   3.768876E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        86, 3/21/2013, 2:35:08,   3.741736E+01,   3.767520E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        87, 3/21/2013, 2:35:08,   3.742290E+01,   3.766615E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        88, 3/21/2013, 2:35:09,   3.743029E+01,   3.765711E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        89, 3/21/2013, 2:35:09,   3.755982E+01,   3.764807E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        90, 3/21/2013, 2:35:09,   3.713525E+01,   3.762999E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
        91, 3/21/2013, 2:35:10,   3.738229E+01,   3.762999E+01,   3.690000E+01,   0.000000E+00,   1.000000E+00,   0.000000E+00
