Record,Date,UTC Time,CV,PV,SP,D1,D2,D3
         1, 3/21/2013, 3:14:21,   5.000000E+01,   3.574464E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         2, 3/21/2013, 3:14:21,   5.000000E+01,   3.575821E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         3, 3/21/2013, 3:14:22,   5.000000E+01,   3.574464E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         4, 3/21/2013, 3:14:22,   5.000000E+01,   3.574916E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         5, 3/21/2013, 3:14:22,   5.000000E+01,   3.574464E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         6, 3/21/2013, 3:14:22,   5.000000E+01,   3.574916E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         7, 3/21/2013, 3:14:23,   5.000000E+01,   3.573560E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         8, 3/21/2013, 3:14:23,   5.000000E+01,   3.574012E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
         9, 3/21/2013, 3:14:23,   4.639462E+01,   3.574916E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        10, 3/21/2013, 3:14:23,   4.318677E+01,   3.574916E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        11, 3/21/2013, 3:14:23,   4.074831E+01,   3.576273E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        12, 3/21/2013, 3:14:24,   4.571759E+01,   3.574464E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        13, 3/21/2013, 3:14:24,   4.147376E+01,   3.574464E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        14, 3/21/2013, 3:14:24,   4.424219E+01,   3.574012E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        15, 3/21/2013, 3:14:24,   4.592108E+01,   3.574012E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        16, 3/21/2013, 3:14:25,   4.309437E+01,   3.574464E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        17, 3/21/2013, 3:14:25,   3.987834E+01,   3.574012E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        18, 3/21/2013, 3:14:25,   4.659674E+01,   3.573108E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        19, 3/21/2013, 3:14:26,   4.175488E+01,   3.570395E+01,   3.575000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00
        20, 3/21/2013, 3:14:26,   4.531411E+01,   3.570395E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        21, 3/21/2013, 3:14:26,   4.185450E+01,   3.569943E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        22, 3/21/2013, 3:14:26,   4.200599E+01,   3.569491E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        23, 3/21/2013, 3:14:27,   4.362057E+01,   3.569039E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        24, 3/21/2013, 3:14:27,   4.215881E+01,   3.569039E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        25, 3/21/2013, 3:14:27,   4.223121E+01,   3.569491E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        26, 3/21/2013, 3:14:27,   4.366136E+01,   3.569039E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        27, 3/21/2013, 3:14:28,   4.196017E+01,   3.569039E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        28, 3/21/2013, 3:14:28,   4.359470E+01,   3.569039E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        29, 3/21/2013, 3:14:28,   3.885609E+01,   3.568587E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        30, 3/21/2013, 3:14:28,   3.851881E+01,   3.569943E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        31, 3/21/2013, 3:14:29,   4.039268E+01,   3.570847E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        32, 3/21/2013, 3:14:29,   4.197569E+01,   3.571299E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        33, 3/21/2013, 3:14:29,   3.814971E+01,   3.571751E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        34, 3/21/2013, 3:14:29,   4.121541E+01,   3.572655E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        35, 3/21/2013, 3:14:30,   4.312306E+01,   3.573108E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        36, 3/21/2013, 3:14:30,   3.943593E+01,   3.576273E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        37, 3/21/2013, 3:14:30,   4.306306E+01,   3.575368E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        38, 3/21/2013, 3:14:30,   4.417110E+01,   3.575821E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        39, 3/21/2013, 3:14:31,   4.399821E+01,   3.577177E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        40, 3/21/2013, 3:14:31,   3.936293E+01,   3.577629E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        41, 3/21/2013, 3:14:31,   4.174397E+01,   3.579890E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        42, 3/21/2013, 3:14:32,   3.880633E+01,   3.580342E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        43, 3/21/2013, 3:14:32,   4.345771E+01,   3.582150E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
        44, 3/21/2013, 3:14:32,   3.971399E+01,   3.583507E+01,   3.575000E+01,   1.000000E+00,   0.000000E+00,   0.000000E+00
